State,$,TOK_INT,TOK_SHORT,TOK_FLOAT,TOK_CHAR,TOK_VOID,TOK_BOOL,TOK_BOOLEAN,TOK_STRUCT,TOK_INT8_T,TOK_INT16_T,TOK_INT32_T,TOK_INT64_T,TOK_SIGNED,TOK_UNSIGNED,TOK_EXTERN,TOK_STATIC,TOK_IF <val>,TOK_ELSE <val>,TOK_FOR,TOK_WHILE,TOK_REPEAT,TOK_UNTIL,TOK_SWITCH,TOK_CASE,TOK_DEFAULT,TOK_BREAK,TOK_CONTINUE,TOK_RETURN,TOK_SIZEOF,TOK_BEGIN,TOK_END,TOK_TRUE,TOK_FALSE,TOK_IDENTIFIER,TOK_INTEGER,TOK_FLOAT_LIT,TOK_CHAR_LIT,TOK_STRING_LIT,TOK_PLUS,TOK_MINUS,TOK_MULT,TOK_DIV,TOK_MOD,TOK_ASSIGN,TOK_EQ,TOK_NE,TOK_LT,TOK_LE,TOK_GT,TOK_GE,TOK_SPACESHIP,TOK_AND,TOK_OR,TOK_NOT,TOK_BITOR,TOK_XOR,TOK_BITNOT,TOK_LSHIFT,TOK_RSHIFT,TOK_INC,TOK_DEC,TOK_PLUSEQ,TOK_MINUSEQ,TOK_MULTEQ,TOK_DIVEQ,TOK_MODEQ,TOK_ARROW,TOK_AMP,TOK_STAR,TOK_LPAREN,TOK_RPAREN,TOK_LBRACKET,TOK_RBRACKET,TOK_SEMICOLON,TOK_COMMA,TOK_DOT,TOK_COLON
25,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,s39,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105
26,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119
27,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,r127,s27,r127,r127,r127,r127,r127,r127,r127,r127
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,s28,,,,,,,
29,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s42,s43,,
31,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84
32,r87,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,s44,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,s45,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87
33,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,s50,r118,s51,r118,r118,r118,r118,r118
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s28,,,,,,,
35,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80
36,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82
37,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204
39,,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126,r126
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s57,,,,,,
42,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,s28,,,,,,,
44,,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,,,s61,s62,s63,,s64,s65,s66,s67,s68,s69,s70,s44,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,s81,,,s82,,,s83,s84,,,,,,,s85,s86,s87,,,,s88,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,s120,,s72,s73,s121,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,s81,,,s82,,,s83,s84,,,,,,,s85,s86,s87,,,,,,,
46,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,s28,,,,s29,,,
48,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208,r208
